カミカゼ,ウォッカ,ロング,シェーク,27,辛,ライムジュース,,,
ガルフストリーム,ウォッカ,ロング,シェーク,19,中,グレープフルーツジュース,パイナップルジュース,,
キッスオブファイヤー,ウォッカ,ショート,シェーク,26,中,レモンジュース,,,
グランプリ,ウォッカ,ショート,シェーク,28,中,レモンジュース,,,
グリーンファンタジー,ウォッカ,ショート,シェーク,25,中,ライムジュース,,,
グレイハウンド,ウォッカ,ロング,ビルド,13,中,グレープフルーツジュース,,,
ケープコッダー,ウォッカ,ロング,シェーク,20,中,クランベリージュース,,,
コザック,ウォッカ,ショート,シェーク,30,辛,ライムジュース,,,
コスモポリタン,ウォッカ,ショート,シェーク,22,中,クランベリージュース,ライムジュース,,
ゴッドマザー,ウォッカ,ロング,ビルド,34,中,アマレット,,,
コロニー,ウォッカ,ショート,シェーク,22,中,ライムジュース,,,
シーブリーズ,ウォッカ,ロング,ビルド,8,中,グレープフルーツジュース,クランベリージュース,,
ジブシー,ウォッカ,ショート,シェーク,35,中,アンゴスチュラビターズ,,,
スクリュードライバー,ウォッカ,ロング,ビルド,15,中,オレンジジュース,,,
スレッジハンマー,ウォッカ,ショート,シェーク,33,辛,ライムジュース,,,
セックスオンザビーチ,ウォッカ,ロング,ビルド,10,中,パイナップルジュース,,,
ソルティドッグ,ウォッカ,ロング,ビルド,13,中,グレープフルーツジュース,,,
チチ,ウォッカ,ロング,シェーク,7,中,パイナップルジュース,ココナッツミルク,,
ツァリーヌ,ウォッカ,ショート,ステア,27,中,アンゴスチュラビターズ,,,
テイクファイブ,ウォッカ,ショート,シェーク,25,辛,ライムジュース,,,
バーバラ,ウォッカ,ショート,シェーク,25,中,生クリーム,,,
ハーベイウォールバンガー,ウォッカ,ロング,ビルド,15,中,オレンジジュース,,,
バカラ,ウォッカ,ショート,シェーク,33,中,レモンジュース,,,
バラライカ,ウォッカ,ショート,シェーク,25,中,レモンジュース,,,
ファンキーグラスホッパー,ウォッカ,ショート,ステア,20,中,ペパーミント,,,
ブラックルシアン,ウォッカ,ロング,ビルド,32,中,コーヒーリキュール,,,
ブラッディブル,ウォッカ,ロング,ビルド,12,辛,レモンジュース,トマトジュース,,
ブラッディメアリー,ウォッカ,ロング,ビルド,12,辛,トマトジュース,,,
プラムスクエア,ウォッカ,ショート,シェーク,28,中,ライムジュース,,,
フランポワーズサワー,ウォッカ,ショート,シェーク,12,中,ライムジュース,,,
ブルショット,ウォッカ,ロング,ビルド,15,中,スライスライム,,,
ブルーラグーン,ウォッカ,ショート,シェーク,22,中,レモンジュース,スライスオレンジ,,
ボルガ,ウォッカ,ショート,シェーク,25,中,ライムジュース,オレンジジュース,,
ボルガボートマン,ウォッカ,ショート,シェーク,18,甘,オレンジジュース,,,
ワイトスパイダー,ウォッカ,ショート,シェーク,32,中,ペパーミント,,,
ホワイトルシアン,ウォッカ,ロング,ビルド,25,甘,コーヒーリキュール,生クリーム,,
モスコミュール,ウォッカ,ロング　,ビルド,12,中,ライムジュース,ジンジャーエール,,
雪国,ウォッカ,ショート,シェーク,30,中,ライムジュース,,,
ルシアン,ウォッカ,ショート,シェーク,33,中,カカオリキュール,,,
ロードランナー,ウォッカ,ショート,シェーク,25,甘,ココナッツミルク,ナツメグ,,
ロベルタ,ウォッカ,ショート,シェーク,24,中,チェリーブランデー,バナナリキュール,,
XYZ,ラム,ショート,シェーク,26,中,レモンジュース,,,
